"","PARID","saledate","date2","price","saleyr","SALETYPE","SALEVAL","presale","postsale","value","adj_price","lnadj_price"
"939","07L230311",2024-09-16,"09-2024",339900,2024,"2","X",2023,2025,314.851,342870.944351455,12.7451093998111
"940","07L230553",2024-07-18,"07-2024",3e+05,2024,"2","X",2023,2025,313.566,303862.344769522,12.6243300645793
"941","07L230832",2024-02-23,"02-2024",335000,2024,"2","X",2023,2025,311.022,342088.35709371,12.7428243367523
"942","07L240453",2024-08-19,"08-2024",320000,2024,"2","X",2023,2025,314.131,323536.868376569,12.6870683535903
"943","07L310358",2024-07-22,"07-2024",399000,2024,"2","X",2023,2025,313.566,404136.918543465,12.909509006813
"944","07L320049",2024-07-10,"07-2024",218500,2024,"2","X",2023,2025,313.566,221313.074440469,12.3073336044588
"945","07L320049",2024-07-17,"07-2024",218500,2024,"2","4",2023,2025,313.566,221313.074440469,12.3073336044588
"946","07L320904",2024-02-27,"02-2024",220000,2024,"2","5",2023,2025,311.022,224655.040479452,12.3223213512795
"947","07L320922",2024-07-08,"07-2024",380000,2024,"2","X",2023,2025,313.566,384892.303374728,12.8607188426436
"948","07L330301",2024-05-30,"05-2024",150000,2024,"2","I",2023,2025,313.14,152137.861659322,11.9325423733672
"949","07L330510",2024-01-02,"01-2024",380000,2024,"2","X",2023,2025,309.794,389578.687773165,12.8728211464133
"950","07L340191",2024-04-23,"04-2024",224900,2024,"2","X",2023,2025,313.016,228195.730250211,12.3379590056751
"951","07L340421",2024-09-17,"09-2024",190000,2024,"2","I",2023,2025,314.851,191660.72205583,12.1634820152695
"952","07L420084",2024-11-06,"11-2024",306800,2024,"2","X",2023,2025,316.449,307918.812826079,12.637591432488
"953","07L420358",2024-04-25,"04-2024",325000,2024,"2","X",2023,2025,313.016,329762.615968513,12.7061283290395
"954","07L420666",2024-04-22,"04-2024",361000,2024,"2","X",2023,2025,313.016,366290.167275794,12.8111811050427
"955","07L520184",2024-05-23,"05-2024",395000,2024,"2","X",2023,2025,313.14,400629.702369547,12.9007928441721
"956","08D110136",2024-05-24,"05-2024",84000,2024,"2","I",2023,2025,313.14,85197.2025292202,11.3527238781143
"957","08D110543",2024-06-17,"06-2024",115000,2024,"2","X",2023,2025,313.131,116642.379706896,11.6668679491854
"958","08D110631",2024-06-20,"06-2024",150000,2024,"2","X",2023,2025,313.131,152142.234400299,11.9325711149184
"959","08D110941",2024-03-21,"03-2024",92000,2024,"2","X",2023,2025,312.107,93620.0597871884,11.4469999534694
"960","08D111027",2024-05-30,"05-2024",93000,2024,"2","I",2023,2025,313.14,94325.4742287795,11.4545065724242
"961","08D111225",2024-07-02,"07-2024",150000,2024,"2","4",2023,2025,313.566,151931.172384761,11.9311828840194
"962","08D111412",2024-04-25,"04-2024",81777,2024,"2","5",2023,2025,313.016,82975.3767570987,11.3262991771877
"963","08D111456",2024-06-21,"06-2024",62850,2024,"2","I",2023,2025,313.131,63747.5962137253,11.0626867558584
"964","08D111467",2024-04-29,"04-2024",95000,2024,"2","I",2023,2025,313.016,96392.1492831037,11.4761800383104
"965","08D120850",2024-06-12,"06-2024",110000,2024,"2","X",2023,2025,313.131,111570.971893553,11.6224161866146
"966","08D120872",2024-04-25,"04-2024",156000,2024,"2","X",2023,2025,313.016,158286.055664886,11.9721591539593
"967","08D130925",2024-09-17,"09-2024",178000,2024,"2","X",2023,2025,314.851,179555.83434704,12.0982414934011
"968","08D131641",2024-07-02,"07-2024",141000,2024,"2","X",2023,2025,313.566,142815.302041675,11.8693074803013
"969","08D131652",2024-05-09,"05-2024",166000,2024,"2","X",2023,2025,313.14,168365.900236316,12.0338948676275
"970","08D140254",2024-11-12,"11-2024",78750,2024,"2","I",2023,2025,316.449,79037.1789767071,11.2776736407006
"971","08D141842",2024-10-18,"10-2024",160000,2024,"2","X",2023,2025,315.564,161033.831489017,11.9893697553638
"972","08D142003",2024-01-19,"01-2024",149000,2024,"2","X",2023,2025,309.794,152755.853890004,11.9365961996383
"973","08D211051",2024-04-29,"04-2024",135000,2024,"2","X",2023,2025,313.016,136978.317402305,11.8275779251482
"974","08D230713",2024-03-08,"03-2024",106500,2024,"2","X",2023,2025,312.107,108375.395297126,11.5933563615699
"975","08D240134",2024-01-02,"01-2024",12000,2024,"2","I",2023,2025,309.794,12302.4848770473,9.41755654348088
"976","08E110751",2024-06-14,"06-2024",1e+05,2024,"2","I",2023,2025,313.131,101428.156266866,11.5271060068102
"977","08E110751",2024-10-11,"10-2024",240000,2024,"2","X",2023,2025,315.564,241550.747233525,12.394834863472
"978","08E110841",2024-06-17,"06-2024",102500,2024,"2","I",2023,2025,313.131,103963.860173538,11.5517986194006
"979","08E120134",2024-04-08,"04-2024",153400,2024,"2","I",2023,2025,313.016,155647.954737138,11.955352035643
"980","08E120200",2024-04-10,"04-2024",150000,2024,"2","X",2023,2025,313.016,152198.130447006,11.9329384408061
